,Date,Open,High,Low,Close,Volume,Market Cap
0,2022-09-18,1.15465438439e-09,1.15582705701e-09,1.08754199528e-09,1.09425794041e-09,58.5,0
1,2022-09-17,1.1308487221e-09,1.15707106479e-09,1.1308487221e-09,1.15444133688e-09,8.64,0
2,2022-09-16,1.11886826969e-09,1.14336107017e-09,1.11048941387e-09,1.13178865399e-09,52.88,0
3,2022-09-15,1.15283698617e-09,1.15857654715e-09,1.10246157658e-09,1.11570736313e-09,7.73,0
4,2022-09-14,1.14780142028e-09,1.1652532924e-09,1.13294188426e-09,1.15302817599e-09,123.02,0
5,2022-09-13,1.20894093485e-09,1.22524203349e-09,1.14406362514e-09,1.15007335809e-09,386.46,0
6,2022-09-12,1.22378442306e-09,1.23737436359e-09,1.20346981365e-09,1.20915212363e-09,376.4,0
7,2022-09-11,1.22883001381e-09,1.22936157967e-09,1.20951969184e-09,1.22365017862e-09,240.89,0
8,2022-09-10,1.23874785106e-09,1.25401482704e-09,1.20999924481e-09,1.22906471472e-09,1262.03,0
9,2022-09-09,1.18512010693e-09,1.24746057877e-09,1.18488156192e-09,1.23867045719e-09,45.14,0
10,2022-09-08,1.17648687947e-09,1.19084428706e-09,1.16696278507e-09,1.18423569127e-09,77.77,0
11,2022-09-07,1.11594110357e-09,1.18172374855e-09,1.09859776661e-09,1.17666562627e-09,59.58,0
12,2022-09-06,1.17837412271e-09,1.21461084433e-09,1.11572408958e-09,1.11589154751e-09,323.22,0
13,2022-09-05,1.18444307079e-09,1.19419087743e-09,1.16529129948e-09,1.17838486356e-09,2.57,0
14,2022-09-04,1.18177667521e-09,1.19156517151e-09,1.17431450302e-09,1.18413685391e-09,34.95,0
15,2022-09-03,1.19512062871e-09,1.19815082892e-09,1.17712127822e-09,1.1817155245e-09,750.22,0
16,2022-09-02,1.19874565624e-09,1.21856060336e-09,1.18314643774e-09,1.19523762637e-09,30.61,0
17,2022-09-01,1.20988957835e-09,1.21404557391e-09,1.16986713711e-09,1.19882286321e-09,375.72,0
18,2022-08-31,1.23416630228e-09,1.26739756363e-09,1.20866535352e-09,1.20979177404e-09,477.73,0
19,2022-08-30,1.2430183616e-09,1.25518683151e-09,1.21303772079e-09,1.23340855772e-09,165.2,0
20,2022-08-29,1.21303271397e-09,1.25660130416e-09,1.19982416621e-09,1.24290015846e-09,0.0,0
21,2022-08-28,1.22414727018e-09,1.2484253173e-09,1.21404859439e-09,1.21404859439e-09,184.53,0
22,2022-08-27,1.232737313e-09,1.25305038291e-09,1.21188787457e-09,1.22424205987e-09,107.71,0
23,2022-08-26,1.33173036971e-09,1.33174614966e-09,1.22771014649e-09,1.23264283069e-09,28.47,0
24,2022-08-25,1.31594860528e-09,1.35474545206e-09,1.31551588098e-09,1.33197851824e-09,235.25,0
25,2022-08-24,1.32783352345e-09,1.330376312e-09,1.30411886484e-09,1.31598693111e-09,37.8,0
26,2022-08-23,1.33719834605e-09,1.33937313019e-09,1.31113000865e-09,1.3276868218e-09,197.27,0
27,2022-08-22,1.3469328815e-09,1.35480692012e-09,1.29060833548e-09,1.33732868458e-09,81.77,0
28,2022-08-21,1.2605495018e-09,1.35224142126e-09,1.26052445567e-09,1.34700676024e-09,100.07,0
29,2022-08-20,1.24273839366e-09,1.28466998063e-09,1.2378827379e-09,1.26055086879e-09,21.82,0
30,2022-08-19,1.3312037478e-09,1.3312037478e-09,1.24045961178e-09,1.24270693733e-09,133.22,0
31,2022-08-18,1.37039198397e-09,1.3858644919e-09,1.3237968971e-09,1.33145808776e-09,190.5,0
32,2022-08-17,1.42339690022e-09,1.4543958136e-09,1.36713711879e-09,1.37026968994e-09,406.79,0
33,2022-08-16,1.44488524638e-09,1.45428873905e-09,1.41100550436e-09,1.42341704235e-09,266.42,0
34,2022-08-15,1.43732486033e-09,1.47644730539e-09,1.42391556818e-09,1.44490055672e-09,34.73,0
35,2022-08-14,1.46070812944e-09,1.49198945426e-09,1.43059342238e-09,1.43715498762e-09,338.89,0
36,2022-08-13,1.47799725265e-09,1.50042789845e-09,1.45931381867e-09,1.46066344068e-09,187.38,0
