date;conflict;similarity;knowledge;power;status;support;identity;romance;trust;fun;conflict_sd;similarity_sd;knowledge_sd;power_sd;status_sd;support_sd;identity_sd;romance_sd;trust_sd;fun_sd;conflict_n_posts;similarity_n_posts;knowledge_n_posts;power_n_posts;status_n_posts;support_n_posts;identity_n_posts;romance_n_posts;trust_n_posts;fun_n_posts;event_type;period_type;event_id;closing_price
2022-01-05;0.020889770216311276;2.5691534175071284;-0.6139840069274863;-1.4047180713990786;1.3032572413552581;0.8690500380903325;-1.8694423752756446;0.18420145584545056;-1.10817549888555;0.4814535802382537;-1.0051219751823326;-1.4645732855164175;-0.40662840729775396;-1.9230753723786955;-0.5878990220836012;-0.3365840677235023;-0.341528354546656;0.1318040738528888;-1.174949751237798;-0.2315021596624555;23;25;242;11;20;57;12;0;64;25;0;0;0;43569.00334764984
2022-01-06;0.011768436370837814;2.201145588369575;-1.4263882876994203;-1.5372494377461012;0.6670108158952012;0.12995090611797078;-1.2302604058416178;0.876489414751678;-1.307047342623415;0.4943104358463295;-1.0095896905643134;-1.158184980249598;-1.0543567425311495;-1.5660829928736033;-1.0519592598158631;-0.23583357548373016;-0.8749970178156533;0.053804519624908564;-1.3629515594264634;-0.23932378408567417;27;32;269;9;24;42;21;2;52;27;0;0;0;43160.928419605385
2022-01-07;0.3770778568820523;2.3316344202151638;-1.4263882876994203;-1.6894467487768763;0.4744056054668171;0.12995090611797191;-0.6150078778589478;0.18420145584545014;-1.2568357281761253;0.8147032775996031;-1.1858647154700541;-1.0462566216632612;-1.0543567425311495;-1.8344571198110162;-1.1759830038124703;-0.23583357548373016;-0.8749970178156533;0.1318040738528888;-1.3663375119711245;-0.4310426268326856;18;32;265;9;19;42;12;0;42;38;0;0;0;41557.90116097088
2022-01-08;0.37707785688205153;2.4621232520607483;-1.0951378218744023;-1.0806575046537774;0.7151621185022979;0.21800957110530686;-0.4256994077104345;0.5303454352985643;-1.2066241137288338;1.043555307423369;-1.1858647154700541;-1.069526046934948;-0.9741217954972389;-0.7721010509693407;-1.3914420071258156;-0.09436331114884719;-1.0896344188606193;-0.026596702048616305;-1.326181121711786;-0.8432481254859635;16;30;243;11;23;40;18;3;56;34;0;0;0;41733.94309889255
2022-01-09;0.09294830759555162;2.3751306974970245;-0.7524649261933499;-1.0806575046537774;1.0040699341448744;-0.2809895304895973;-0.2837180550990484;0.5303454352985643;-1.3572589570707068;1.043555307423369;-1.2121326672386414;-0.8971829549291186;-0.9447080580433546;-0.7721010509693407;-1.0003823388732733;-0.8884816028264889;-1.3376760729027168;-0.026596702048616305;-1.579228830567769;-0.8432481254859635;20;23;230;5;16;31;18;2;55;25;0;0;0;41911.60153633568
2022-01-10;-0.231771177303306;1.722686538269092;-0.8095770754735253;-0.8523615381076156;0.8114647237164895;-0.16357797717314881;-0.3783722901733055;0.18420145584545056;-0.9555660414923773;1.135096119352875;-1.8271795188674178;-0.22809575368390023;-0.9876295952060236;-0.7865742194208033;-1.1205962516087096;-0.7840444435350481;-1.4725863722106955;-0.1522301696827611;-1.1110682942580454;-0.8769064614211368;22;32;259;11;19;36;22;0;55;29;0;0;0;41821.26313900311
2022-01-11;-0.028821499241519877;1.1137386563230196;-0.7638873560493878;-0.8523615381076156;1.2929777497874513;0.012539352801523393;0.00024465012372204727;0.5303454352985643;-0.3028150536775935;0.6316216537405893;-1.5952470305193343;-0.1147203878047971;-0.9509606495489599;-0.7865742194208033;-0.49698203023905524;-0.6239848016916724;-1.8808277191667133;-0.33073495520939705;-1.5655494640184404;-1.6666262967512306;12;30;269;17;21;52;16;1;59;25;0;0;0;42735.85411950772
2022-01-12;0.05235837198319393;0.9832498244774338;-0.1356537139674549;-0.3196709494999043;0.7633134211093928;-0.01681353552758788;0.14222600273510727;-0.16194252360766317;-0.5538731259140498;0.17391759409305582;-1.6435537240833045;-0.2514434133548869;-0.5476669179464666;-0.12550500093612732;0.20714419623661068;-0.6075690469411993;-1.780256481647133;-1.1205217422533873;-1.0936859077114485;-2.226345157126832;16;23;272;11;26;40;15;0;58;25;0;0;0;43949.10068678188
2022-01-13;0.09294830759555162;0.983249824477433;-0.1356537139674549;0.13692098359242016;0.907767328930682;0.24736245943442042;-0.14173670248766318;0.18420145584545014;-0.6542963548086312;0.8147032775996031;-1.6119738793809428;-0.2514434133548869;-0.5476669179464666;-0.9155528672708151;0.060073018700004664;-1.1024477994947486;-1.2544398341521932;-0.47462352003977887;-0.9926830264198898;-0.8474285448042899;19;17;264;12;20;46;19;1;68;29;negative;before;6;42591.57225803064
2022-01-14;-0.19118124169094908;0.5482870516588106;-0.044274275119176414;0.21301963910780844;1.0522212367519703;0.7757144493584359;-0.14173670248766318;0.18420145584545014;-0.6542963548086332;0.6316216537405893;-1.6460116947749375;-0.6970183867938662;-0.568692911464822;-0.9617954384633958;0.032512932628705825;-0.988794741733029;-1.2544398341521932;-0.47462352003977887;-0.9926830264198898;-0.789575481782488;23;18;269;9;29;48;20;1;68;27;negative;before;6;43099.69982832971
